Nprocs,time_taken
1,0.00055
2,0.00079
3,0.000931
4,0.001595
5,0.003519
6,0.002242
7,0.002923
8,0.003151
9,0.004059
10,0.004137
11,0.005204
12,0.005758
13,0.006069
14,0.007857
15,0.011
16,0.010702
17,0.009041
18,0.010624
19,0.011521
20,0.012704
21,0.023159
22,0.014202
23,0.015477
24,0.018127
25,0.066244
26,0.019548
27,0.020828
28,0.02284
29,0.029723
30,0.027832
31,0.063165
32,0.059896
33,0.051094
34,0.074337
35,0.049142
36,0.056822
37,0.080484
38,0.087008
39,0.10209
40,0.083873